n,V1,I1,P1,W,If,V2,I2
1482,200,5.9,410,0.34,1.22,100,0
1480,200,6.01,562,0.52,1.17,100,1.55
1473,200,6.2,701,0.79,1.28,100,3.1
1466,200,6.34,884,1.16,1.27,100,4.6
1460,200,6.5,1040,1.55,1.28,100,6.1
1453,200,6.86,1254,2.06,1.35,100,7.65
1445,200,7.2,1437,2.5,1.44,100,9.2
1434,200,7.72,1714,3.28,1.53,100,10.75
1427,200,8.13,1920,3.68,1.595,100,12.25
1416,200,8.76,2194,4.36,1.705,100,13.8
1404,200,9.5,2496,5.04,1.82,100,15.25
